head,
accepter,
agir,
aimer,
annoncer,
actuel,
autour,
accumuler,
amoureux,
ambitieux,
arranger,
approfondir,
auparavant,
absolument,
autrement,
avril,
améliorer,
apprécier,
attendre,
appeler,
arriver,
accusé,
aîné,
admirer,
automatique,
approprier,
acceptable,
atomique,
antérieur,
afficher,
autonome,
accompagner,
abandonner,
adresser,
attirer,
appliquer,
anglais,
assurer,
appartenir,
assez,
apprendre,
apporter,
atteindre,
ajouter,
ailleurs,
américain,
autant,
ancien,
autoritaire,
aimable,
anormal,
appliqué,
amusant,
apparent,
allonger,
axer,
alléger,
attester,
attraper,
augmenter,
allemand,
arbitraire,
apte,
arrière,
accroître,
aborder,
adapter,
approcher,
adulte,
adorer,
abattre,
arracher,
aussitôt,
autrefois,
avouer,
armé,
achever,
approuver,
annuel,
annuler,
absent,
accélérer,
armer,
alimentaire,
afin,
aider,
arrêter,
avancer,
administrer,
ah,
associer,
août,
attribuer,
allouer,
ajourner,
atroce,
ancrer,
agrandir,
audiovisuel,
aménager,
anéantir,
alourdir,
affreux,
arrivé,
avantageux,
administratif,
assumer,
apercevoir,
animer,
adéquat,
artistique,
aspirer,
assimiler,
approprié,
articuler,
amplifier,
assurément,
acquis,
appréhender,
amer,
avoir,
avec,
autre,
avant,
aussi,
aller,
aucun,
alors,
après,
ainsi,
accrocher,
agréable,
attentif,
artificiel,
amorcer,
abaisser,
acquitter,
abriter,
applaudir,
asiatique,
atténuer,
affronter,
allié,
applicable,
assortir,
allier,
amical,
acheminer,
ajuster,
aucunement,
alternatif,
advenir,
antique,
analogue,
analyser,
actif,
absolu,
accomplir,
attacher,
asseoir,
aboutir,
affecter,
aviser,
aisé,
atlantique,
activer,
alerter,
accompli,
assigner,
autrui,
authentique,
attentivement,
adieu,
aggraver,
alimenter,
absurde,
amuser,
affaiblir,
appuyer,
autoriser,
auprès,
acheter,
amener,
accorder,
adopter,
admettre,
assister,
affirmer,
apparaître,
adhérer,
apprêter,
additionnel,
anonyme,
accentuer,
allumer,
abolir,
apaiser,
activement,
abstenir,
apparemment,
aérien,
accéder,
agricole,
acquérir,
accuser,
accueillir,
audacieux,
alentour,
abonné,
